step,update_time,visualize_time,capture_frame_time
0,0.002023,0.030742,0.000246
1,0.000409,0.000000,0.000000
2,0.000608,0.000000,0.000000
3,0.000960,0.000000,0.000000
4,0.000838,0.000000,0.000000
5,0.000684,0.000000,0.000000
6,0.000970,0.000000,0.000000
7,0.001017,0.000000,0.000000
8,0.000877,0.000000,0.000000
9,0.000836,0.000000,0.000000
10,0.000840,0.027046,0.000523
11,0.000954,0.000000,0.000000
12,0.001208,0.000000,0.000000
13,0.001022,0.000000,0.000000
14,0.001185,0.000000,0.000000
15,0.000909,0.000000,0.000000
16,0.001245,0.000000,0.000000
17,0.001172,0.000000,0.000000
18,0.001744,0.000000,0.000000
19,0.000864,0.000000,0.000000
20,0.001024,0.031622,0.000629
21,0.002025,0.000000,0.000000
22,0.001767,0.000000,0.000000
23,0.001618,0.000000,0.000000
24,0.001176,0.000000,0.000000
25,0.001729,0.000000,0.000000
26,0.001101,0.000000,0.000000
27,0.001203,0.000000,0.000000
28,0.001216,0.000000,0.000000
29,0.001560,0.000000,0.000000
30,0.001410,0.048128,0.000695
31,0.004499,0.000000,0.000000
32,0.001691,0.000000,0.000000
33,0.001950,0.000000,0.000000
34,0.001462,0.000000,0.000000
35,0.001881,0.000000,0.000000
36,0.001859,0.000000,0.000000
37,0.001706,0.000000,0.000000
38,0.002227,0.000000,0.000000
39,0.002255,0.000000,0.000000
40,0.001382,0.035927,0.000231
41,0.001819,0.000000,0.000000
42,0.002044,0.000000,0.000000
43,0.002326,0.000000,0.000000
44,0.002627,0.000000,0.000000
45,0.002533,0.000000,0.000000
46,0.002773,0.000000,0.000000
47,0.027369,0.000000,0.000000
48,0.005284,0.000000,0.000000
49,0.002008,0.000000,0.000000
50,0.002760,0.044558,0.000596
51,0.004130,0.000000,0.000000
52,0.002003,0.000000,0.000000
53,0.001838,0.000000,0.000000
54,0.002542,0.000000,0.000000
55,0.002664,0.000000,0.000000
56,0.002185,0.000000,0.000000
57,0.002058,0.000000,0.000000
58,0.002527,0.000000,0.000000
59,0.001337,0.000000,0.000000
60,0.003929,0.067912,0.000428
61,0.003348,0.000000,0.000000
62,0.002416,0.000000,0.000000
63,0.003169,0.000000,0.000000
64,0.004812,0.000000,0.000000
65,0.002349,0.000000,0.000000
66,0.002820,0.000000,0.000000
67,0.003659,0.000000,0.000000
68,0.002238,0.000000,0.000000
69,0.003084,0.000000,0.000000
70,0.003339,0.061637,0.001235
71,0.005480,0.000000,0.000000
72,0.003911,0.000000,0.000000
73,0.003707,0.000000,0.000000
74,0.003427,0.000000,0.000000
75,0.003477,0.000000,0.000000
76,0.003678,0.000000,0.000000
77,0.003248,0.000000,0.000000
78,0.002947,0.000000,0.000000
79,0.003323,0.000000,0.000000
80,0.002702,0.052973,0.000431
81,0.003521,0.000000,0.000000
82,0.003262,0.000000,0.000000
83,0.002886,0.000000,0.000000
84,0.003367,0.000000,0.000000
85,0.002742,0.000000,0.000000
86,0.002871,0.000000,0.000000
87,0.003133,0.000000,0.000000
88,0.004289,0.000000,0.000000
89,0.002821,0.000000,0.000000
90,0.004256,0.058507,0.000220
91,0.003601,0.000000,0.000000
92,0.003812,0.000000,0.000000
93,0.005241,0.000000,0.000000
94,0.002105,0.000000,0.000000
95,0.002214,0.000000,0.000000
96,0.003185,0.000000,0.000000
97,0.004303,0.000000,0.000000
98,0.004051,0.000000,0.000000
99,0.003512,0.000000,0.000000
100,0.004089,0.063113,0.000519
101,0.008224,0.000000,0.000000
102,0.004983,0.000000,0.000000
103,0.005010,0.000000,0.000000
104,0.003259,0.000000,0.000000
105,0.004587,0.000000,0.000000
106,0.004272,0.000000,0.000000
107,0.004419,0.000000,0.000000
108,0.005179,0.000000,0.000000
109,0.003681,0.000000,0.000000
110,0.003015,0.078612,0.000766
111,0.006045,0.000000,0.000000
112,0.001916,0.000000,0.000000
113,0.003820,0.000000,0.000000
114,0.002606,0.000000,0.000000
115,0.002740,0.000000,0.000000
116,0.002469,0.000000,0.000000
117,0.001498,0.000000,0.000000
118,0.002766,0.000000,0.000000
119,0.004048,0.000000,0.000000
120,0.003855,0.092372,0.001098
121,0.008387,0.000000,0.000000
122,0.004062,0.000000,0.000000
123,0.002835,0.000000,0.000000
124,0.030722,0.000000,0.000000
125,0.010957,0.000000,0.000000
126,0.004377,0.000000,0.000000
127,0.002809,0.000000,0.000000
128,0.003190,0.000000,0.000000
129,0.007047,0.000000,0.000000
130,0.003569,0.073467,0.001187
131,0.007226,0.000000,0.000000
132,0.003779,0.000000,0.000000
133,0.003870,0.000000,0.000000
134,0.004221,0.000000,0.000000
135,0.004156,0.000000,0.000000
136,0.004386,0.000000,0.000000
137,0.004627,0.000000,0.000000
138,0.003262,0.000000,0.000000
139,0.002815,0.000000,0.000000
140,0.002116,0.100058,0.000744
141,0.007591,0.000000,0.000000
142,0.006064,0.000000,0.000000
143,0.004794,0.000000,0.000000
144,0.004464,0.000000,0.000000
145,0.004057,0.000000,0.000000
146,0.004058,0.000000,0.000000
147,0.004919,0.000000,0.000000
148,0.005176,0.000000,0.000000
149,0.005650,0.000000,0.000000
150,0.004690,0.091895,0.000314
151,0.004852,0.000000,0.000000
152,0.003878,0.000000,0.000000
153,0.003007,0.000000,0.000000
154,0.003141,0.000000,0.000000
155,0.003827,0.000000,0.000000
156,0.004427,0.000000,0.000000
157,0.002553,0.000000,0.000000
158,0.002310,0.000000,0.000000
159,0.003829,0.000000,0.000000
160,0.005156,0.160668,0.010936
161,0.003623,0.000000,0.000000
162,0.003667,0.000000,0.000000
163,0.004306,0.000000,0.000000
164,0.003770,0.000000,0.000000
165,0.002769,0.000000,0.000000
166,0.002635,0.000000,0.000000
167,0.003496,0.000000,0.000000
168,0.001742,0.000000,0.000000
169,0.002772,0.000000,0.000000
170,0.003922,0.091915,0.000575
171,0.009785,0.000000,0.000000
172,0.005501,0.000000,0.000000
173,0.004205,0.000000,0.000000
174,0.004293,0.000000,0.000000
175,0.004654,0.000000,0.000000
176,0.004644,0.000000,0.000000
177,0.004123,0.000000,0.000000
178,0.005044,0.000000,0.000000
179,0.003737,0.000000,0.000000
180,0.002975,0.108605,0.000452
181,0.005800,0.000000,0.000000
182,0.005667,0.000000,0.000000
183,0.004945,0.000000,0.000000
184,0.004195,0.000000,0.000000
185,0.005574,0.000000,0.000000
186,0.004379,0.000000,0.000000
187,0.002774,0.000000,0.000000
188,0.003754,0.000000,0.000000
189,0.003346,0.000000,0.000000
190,0.002947,0.120062,0.001095
191,0.008590,0.000000,0.000000
192,0.004365,0.000000,0.000000
193,0.004042,0.000000,0.000000
194,0.004472,0.000000,0.000000
195,0.003783,0.000000,0.000000
196,0.004580,0.000000,0.000000
197,0.003029,0.000000,0.000000
198,0.004128,0.000000,0.000000
199,0.004389,0.000000,0.000000
200,0.004125,0.096505,0.000342
201,0.005913,0.000000,0.000000
202,0.004725,0.000000,0.000000
203,0.005216,0.000000,0.000000
204,0.003836,0.000000,0.000000
205,0.003434,0.000000,0.000000
206,0.006021,0.000000,0.000000
207,0.003488,0.000000,0.000000
208,0.004090,0.000000,0.000000
209,0.003334,0.000000,0.000000
210,0.015109,0.122547,0.000234
211,0.003931,0.000000,0.000000
212,0.003612,0.000000,0.000000
213,0.004164,0.000000,0.000000
214,0.003350,0.000000,0.000000
215,0.003039,0.000000,0.000000
216,0.003462,0.000000,0.000000
217,0.004974,0.000000,0.000000
218,0.005105,0.000000,0.000000
219,0.004033,0.000000,0.000000
220,0.003745,0.117509,0.001395
221,0.009443,0.000000,0.000000
222,0.004492,0.000000,0.000000
223,0.004703,0.000000,0.000000
224,0.004038,0.000000,0.000000
225,0.003969,0.000000,0.000000
226,0.003243,0.000000,0.000000
227,0.005419,0.000000,0.000000
228,0.004258,0.000000,0.000000
229,0.004344,0.000000,0.000000
230,0.006444,0.114213,0.001153
231,0.007360,0.000000,0.000000
232,0.004573,0.000000,0.000000
233,0.004358,0.000000,0.000000
234,0.004170,0.000000,0.000000
235,0.005158,0.000000,0.000000
236,0.003934,0.000000,0.000000
237,0.003915,0.000000,0.000000
238,0.002782,0.000000,0.000000
239,0.004114,0.000000,0.000000
240,0.003687,0.128927,0.000542
241,0.006348,0.000000,0.000000
242,0.005939,0.000000,0.000000
243,0.006543,0.000000,0.000000
244,0.004917,0.000000,0.000000
245,0.003894,0.000000,0.000000
246,0.004356,0.000000,0.000000
247,0.003511,0.000000,0.000000
248,0.003984,0.000000,0.000000
249,0.004746,0.000000,0.000000
250,0.004205,0.098274,0.000244
251,0.003995,0.000000,0.000000
252,0.004247,0.000000,0.000000
253,0.003733,0.000000,0.000000
254,0.004667,0.000000,0.000000
255,0.005215,0.000000,0.000000
256,0.004583,0.000000,0.000000
257,0.004443,0.000000,0.000000
258,0.006725,0.000000,0.000000
259,0.004431,0.000000,0.000000
260,0.004489,0.111465,0.000405
261,0.004137,0.000000,0.000000
262,0.004402,0.000000,0.000000
263,0.003142,0.000000,0.000000
264,0.003568,0.000000,0.000000
265,0.002834,0.000000,0.000000
266,0.004044,0.000000,0.000000
267,0.004257,0.000000,0.000000
268,0.003688,0.000000,0.000000
269,0.004469,0.000000,0.000000
270,0.004118,0.106752,0.000853
271,0.009749,0.000000,0.000000
272,0.004756,0.000000,0.000000
273,0.003859,0.000000,0.000000
274,0.003429,0.000000,0.000000
275,0.004656,0.000000,0.000000
276,0.003743,0.000000,0.000000
277,0.001937,0.000000,0.000000
278,0.002691,0.000000,0.000000
279,0.003970,0.000000,0.000000
280,0.006792,0.115272,0.001000
281,0.008134,0.000000,0.000000
282,0.006797,0.000000,0.000000
283,0.005272,0.000000,0.000000
284,0.004346,0.000000,0.000000
285,0.015926,0.000000,0.000000
286,0.002231,0.000000,0.000000
287,0.003884,0.000000,0.000000
288,0.003179,0.000000,0.000000
289,0.002534,0.000000,0.000000
290,0.002299,0.136914,0.001111
291,0.008201,0.000000,0.000000
292,0.004592,0.000000,0.000000
293,0.018934,0.000000,0.000000
294,0.012471,0.000000,0.000000
295,0.003470,0.000000,0.000000
296,0.005257,0.000000,0.000000
297,0.004146,0.000000,0.000000
298,0.005813,0.000000,0.000000
299,0.006525,0.000000,0.000000
300,0.005449,0.122169,0.001431
301,0.012493,0.000000,0.000000
302,0.004134,0.000000,0.000000
303,0.004162,0.000000,0.000000
304,0.004922,0.000000,0.000000
305,0.003698,0.000000,0.000000
306,0.004105,0.000000,0.000000
307,0.005864,0.000000,0.000000
308,0.006467,0.000000,0.000000
309,0.005123,0.000000,0.000000
310,0.003735,0.114298,0.000203
311,0.003415,0.000000,0.000000
312,0.002188,0.000000,0.000000
313,0.002636,0.000000,0.000000
314,0.003311,0.000000,0.000000
315,0.004840,0.000000,0.000000
316,0.005034,0.000000,0.000000
317,0.004964,0.000000,0.000000
318,0.005153,0.000000,0.000000
319,0.003593,0.000000,0.000000
320,0.004646,0.113447,0.000644
321,0.007937,0.000000,0.000000
322,0.002395,0.000000,0.000000
323,0.004306,0.000000,0.000000
324,0.005458,0.000000,0.000000
325,0.004414,0.000000,0.000000
326,0.002911,0.000000,0.000000
327,0.004818,0.000000,0.000000
328,0.005637,0.000000,0.000000
329,0.004288,0.000000,0.000000
330,0.005083,0.106734,0.001054
331,0.007109,0.000000,0.000000
332,0.005100,0.000000,0.000000
333,0.003542,0.000000,0.000000
334,0.004081,0.000000,0.000000
335,0.004011,0.000000,0.000000
336,0.004994,0.000000,0.000000
337,0.004461,0.000000,0.000000
338,0.005440,0.000000,0.000000
339,0.005217,0.000000,0.000000
340,0.004869,0.125330,0.000894
341,0.008594,0.000000,0.000000
342,0.004825,0.000000,0.000000
343,0.004202,0.000000,0.000000
344,0.004240,0.000000,0.000000
345,0.003822,0.000000,0.000000
346,0.003962,0.000000,0.000000
347,0.004730,0.000000,0.000000
348,0.004280,0.000000,0.000000
349,0.004315,0.000000,0.000000
350,0.004759,0.100200,0.000381
351,0.009125,0.000000,0.000000
352,0.005194,0.000000,0.000000
353,0.005413,0.000000,0.000000
354,0.004616,0.000000,0.000000
355,0.005265,0.000000,0.000000
356,0.003838,0.000000,0.000000
357,0.004978,0.000000,0.000000
358,0.007305,0.000000,0.000000
359,0.006922,0.000000,0.000000
360,0.005926,0.112790,0.000286
361,0.008763,0.000000,0.000000
362,0.002950,0.000000,0.000000
363,0.002570,0.000000,0.000000
364,0.003866,0.000000,0.000000
365,0.003959,0.000000,0.000000
366,0.003063,0.000000,0.000000
367,0.003761,0.000000,0.000000
368,0.005148,0.000000,0.000000
369,0.007152,0.000000,0.000000
370,0.004202,0.102262,0.000670
371,0.011086,0.000000,0.000000
372,0.004383,0.000000,0.000000
373,0.007136,0.000000,0.000000
374,0.004857,0.000000,0.000000
375,0.004439,0.000000,0.000000
376,0.004142,0.000000,0.000000
377,0.004437,0.000000,0.000000
378,0.004756,0.000000,0.000000
379,0.004154,0.000000,0.000000
380,0.005232,0.102039,0.000300
381,0.010284,0.000000,0.000000
382,0.024642,0.000000,0.000000
383,0.007887,0.000000,0.000000
384,0.003857,0.000000,0.000000
385,0.002894,0.000000,0.000000
386,0.003292,0.000000,0.000000
387,0.006260,0.000000,0.000000
388,0.004913,0.000000,0.000000
389,0.006477,0.000000,0.000000
390,0.002876,0.157858,0.008546
391,0.008608,0.000000,0.000000
392,0.007992,0.000000,0.000000
393,0.005098,0.000000,0.000000
394,0.004576,0.000000,0.000000
395,0.004061,0.000000,0.000000
396,0.004419,0.000000,0.000000
397,0.004383,0.000000,0.000000
398,0.004097,0.000000,0.000000
399,0.005396,0.000000,0.000000
400,0.003936,0.106595,0.000508
401,0.008293,0.000000,0.000000
402,0.005402,0.000000,0.000000
403,0.005589,0.000000,0.000000
404,0.004729,0.000000,0.000000
405,0.003502,0.000000,0.000000
406,0.002074,0.000000,0.000000
407,0.004051,0.000000,0.000000
408,0.005473,0.000000,0.000000
409,0.004004,0.000000,0.000000
410,0.003594,0.111130,0.000776
411,0.006002,0.000000,0.000000
412,0.003659,0.000000,0.000000
413,0.004428,0.000000,0.000000
414,0.004018,0.000000,0.000000
415,0.005239,0.000000,0.000000
416,0.004318,0.000000,0.000000
417,0.003001,0.000000,0.000000
418,0.004310,0.000000,0.000000
419,0.004145,0.000000,0.000000
